g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
0.3,0.0,2.0,60,85,28,-0.7451436889971269,32.142857142857146,-0.08574503327792639,-2.4667374478938187,-3.913811614794397,0.7570240173729075
-0.5,0.3,2.0,60,85,32,-0.7684195855136907,34.375,-0.08678234124198606,-2.8425875046955484,-3.2577472312708444,0.7546072614421244
-0.5,0.3,2.0,60,80,32,-0.8088137921824485,34.375,-0.09189632900377785,-3.002855245488345,-3.2577472312708444,0.7438506427961977
0.0,0.0,2.0,60,80,33,-0.9081054307405203,30.303030303030305,-0.09787133880142132,-3.275537090133429,-3.7710541530685697,0.7148632544684397
0.0,0.3,3.0,60,85,36,-0.9783696718330989,33.33333333333333,-0.1047388507147348,-3.8049698238950547,-4.707602970282366,0.7023617641013638
0.0,0.3,3.0,60,80,36,-1.014900274355628,33.33333333333333,-0.1092846176141053,-3.963650049786893,-4.8647942415857495,0.6934045131132259
0.0,0.0,2.0,60,85,33,-1.0160100864384833,30.303030303030305,-0.10776492907560659,-3.588110166118774,-4.179509260476862,0.6814369852610345
0.3,0.0,3.0,60,80,37,-1.0193954870289852,32.432432432432435,-0.11002267052544251,-4.098217326154097,-4.998098823987941,0.6948680909399688
0.3,0.3,3.0,60,85,32,-1.0282211826690404,31.25,-0.11543518163956834,-3.729019754281171,-4.63236556794639,0.6910685545411761
-0.5,0.0,2.0,60,80,39,-1.0575851703574788,30.76923076923077,-0.11370952883717421,-4.451716377272663,-4.672014742296337,0.685710737208195
0.3,0.3,3.0,60,80,32,-1.0674824436609078,31.25,-0.12054916940136012,-3.887825264963496,-4.789680948447255,0.6817381344448661
0.3,0.0,3.0,60,85,37,-1.117079627196437,32.432432432432435,-0.11884668347268887,-4.408131843133855,-5.305105299720045,0.6663027428786426
0.0,0.3,2.5,60,85,32,-1.1179366889351157,31.25,-0.1223347142048985,-3.9365565125935253,-3.8697753982533523,0.6641192771565998
-0.5,0.0,2.0,60,85,39,-1.1511885184777,30.76923076923077,-0.12208102829994638,-4.760488532925844,-4.672014742296363,0.6586128385799722
0.0,0.3,2.5,60,80,32,-1.157556342840343,31.25,-0.1274487019666903,-4.0950196773185565,-4.028348722955359,0.654923558726506
0.3,0.0,2.5,60,80,34,-1.3519402936721012,29.411764705882355,-0.14862474648845794,-5.0322385434837695,-4.39308259504267,0.6161959381137253
0.0,0.0,3.0,60,80,43,-1.3933046548863268,30.23255813953488,-0.14103513673242676,-5.995524638429317,-6.557884350691805,0.6077760724790905
0.3,0.3,2.5,60,85,29,-1.4036016112868697,27.586206896551722,-0.16125270288387528,-4.6666367167148675,-4.498644208536497,0.603097679410769
0.3,0.3,2.5,60,80,29,-1.4442971397837232,27.586206896551722,-0.16689572386240414,-4.823895564631697,-4.656180171488239,0.5948356771621737
0.3,0.0,2.5,60,85,34,-1.4620456057208264,29.411764705882355,-0.1582273488134025,-5.33913469389784,-4.702044230596988,0.5862558880731558
